path1,path2,same,similarity
datasets/lfw/Abel_Pacheco/Abel_Pacheco_0001.jpg,datasets/lfw/Abel_Pacheco/Abel_Pacheco_0004.jpg,True,0.7063176
datasets/lfw/Akhmed_Zakayev/Akhmed_Zakayev_0001.jpg,datasets/lfw/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,True,0.86567503
datasets/lfw/Akhmed_Zakayev/Akhmed_Zakayev_0002.jpg,datasets/lfw/Akhmed_Zakayev/Akhmed_Zakayev_0003.jpg,True,0.8035464
datasets/lfw/Amber_Tamblyn/Amber_Tamblyn_0001.jpg,datasets/lfw/Amber_Tamblyn/Amber_Tamblyn_0002.jpg,True,0.7584137
datasets/lfw/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,datasets/lfw/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.jpg,True,0.78287876
datasets/lfw/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.jpg,datasets/lfw/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.jpg,True,0.6913271
datasets/lfw/Angela_Bassett/Angela_Bassett_0001.jpg,datasets/lfw/Angela_Bassett/Angela_Bassett_0005.jpg,True,0.78269
datasets/lfw/Angela_Bassett/Angela_Bassett_0002.jpg,datasets/lfw/Angela_Bassett/Angela_Bassett_0005.jpg,True,0.5970704
datasets/lfw/Angela_Bassett/Angela_Bassett_0003.jpg,datasets/lfw/Angela_Bassett/Angela_Bassett_0004.jpg,True,-0.052979946
datasets/lfw/Ann_Veneman/Ann_Veneman_0003.jpg,datasets/lfw/Ann_Veneman/Ann_Veneman_0005.jpg,True,0.80403984
datasets/lfw/Ann_Veneman/Ann_Veneman_0006.jpg,datasets/lfw/Ann_Veneman/Ann_Veneman_0010.jpg,True,0.72102416
datasets/lfw/Ann_Veneman/Ann_Veneman_0010.jpg,datasets/lfw/Ann_Veneman/Ann_Veneman_0011.jpg,True,0.5532478
datasets/lfw/Anthony_Fauci/Anthony_Fauci_0001.jpg,datasets/lfw/Anthony_Fauci/Anthony_Fauci_0002.jpg,True,0.8292733
datasets/lfw/Antony_Leung/Antony_Leung_0001.jpg,datasets/lfw/Antony_Leung/Antony_Leung_0002.jpg,True,0.78511477
datasets/lfw/Antony_Leung/Antony_Leung_0002.jpg,datasets/lfw/Antony_Leung/Antony_Leung_0003.jpg,True,0.7593939
datasets/lfw/Anwar_Ibrahim/Anwar_Ibrahim_0001.jpg,datasets/lfw/Anwar_Ibrahim/Anwar_Ibrahim_0002.jpg,True,0.6412658
datasets/lfw/Augusto_Pinochet/Augusto_Pinochet_0001.jpg,datasets/lfw/Augusto_Pinochet/Augusto_Pinochet_0002.jpg,True,0.85129803
datasets/lfw/Barbara_Brezigar/Barbara_Brezigar_0001.jpg,datasets/lfw/Barbara_Brezigar/Barbara_Brezigar_0002.jpg,True,0.63292277
datasets/lfw/Benjamin_Netanyahu/Benjamin_Netanyahu_0001.jpg,datasets/lfw/Benjamin_Netanyahu/Benjamin_Netanyahu_0004.jpg,True,0.79042804
datasets/lfw/Benjamin_Netanyahu/Benjamin_Netanyahu_0004.jpg,datasets/lfw/Benjamin_Netanyahu/Benjamin_Netanyahu_0005.jpg,True,0.76760846
datasets/lfw/Bernard_Law/Bernard_Law_0002.jpg,datasets/lfw/Bernard_Law/Bernard_Law_0003.jpg,True,0.6731803
datasets/lfw/Bernard_Law/Bernard_Law_0003.jpg,datasets/lfw/Bernard_Law/Bernard_Law_0004.jpg,True,0.7341595
datasets/lfw/Bertrand_Bonello/Bertrand_Bonello_0001.jpg,datasets/lfw/Bertrand_Bonello/Bertrand_Bonello_0002.jpg,True,0.7303534
datasets/lfw/Bill_Frist/Bill_Frist_0002.jpg,datasets/lfw/Bill_Frist/Bill_Frist_0009.jpg,True,0.73120314
datasets/lfw/Bill_Frist/Bill_Frist_0004.jpg,datasets/lfw/Bill_Frist/Bill_Frist_0005.jpg,True,0.6008558
datasets/lfw/Bob_Graham/Bob_Graham_0002.jpg,datasets/lfw/Bob_Graham/Bob_Graham_0004.jpg,True,0.59548414
datasets/lfw/Bob_Graham/Bob_Graham_0003.jpg,datasets/lfw/Bob_Graham/Bob_Graham_0006.jpg,True,0.7028476
datasets/lfw/Bob_Graham/Bob_Graham_0004.jpg,datasets/lfw/Bob_Graham/Bob_Graham_0006.jpg,True,0.6187604
datasets/lfw/Bob_Graham/Bob_Graham_0005.jpg,datasets/lfw/Bob_Graham/Bob_Graham_0006.jpg,True,0.65480465
datasets/lfw/Boris_Becker/Boris_Becker_0002.jpg,datasets/lfw/Boris_Becker/Boris_Becker_0006.jpg,True,0.6978824
